titulo,sinopse,direcao,ano,duracao,uf,link_filme,link_base,codigo,obs,fonte,cartaz,raspagem
Eletrificação da E.F.C.B. (Inauguração),"""Inauguração das novas instalações elétricas da E. F. C. B."" (CRRS/INCE)A eletrificação da Estrada de Ferro Central do Brasil na parte suburbana no Rio de Janeiro; carros e oficinas. Orientação técnica do engenheiro Oscar Vianna da Silva. (Resumo a partir da cópia)",Humberto Mauro,1937,3,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2582,2582,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=005874&format=detailed.pft),,29/08/2023 12:01:30
Equinodermes,"""Anatomia, morfologia interna e externa. Estrelas do mar, ouriços, etc., pescados na Baía de Guanabara - DF"". (CRRS/INCE)",Humberto Mauro,1937,6,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2583,2583,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=005884&format=detailed.pft),,29/08/2023 12:01:31
Excursão a Cabo Frio,,João Stamato,1937,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3931,3931,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:31
Excursão a Cordeiro,,João Stamato,1937,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3930,3930,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:31
Extirpação do Estômago,"""Corte e abertura do epigastro. Extirpação do estômago. Operação executada pelo Prof§ Mauricio Gudin, na Beneficência Portuguesa, em 1937"". (CRRS/INCE)",Humberto Mauro,1937,4,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2585,2585,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=005896&format=detailed.pft),,29/08/2023 12:01:32
Filmando o Rio Paraguai,,João Stamato,1937,5,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3915,3915,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:32
Filmando Paquetá,,João Stamato,1937,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3916,3916,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:33
Guaratuba,"""... magnífico film natural sobre a villa de Guaratuba, onde se ostentavem as mais bellas praias do littoral paranaense"". (O Dia, 16.05.1937)",João Baptista Groff,1937,,Paraná,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3010,3010,,Cinemateca Brasileira (http://cinemateca.gov.br/),,29/08/2023 12:01:33
Hérnia Inguinal,"""Inversão do saco herniário."" (CRRS/INCE)",Humberto Mauro,1937,2,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2586,2586,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=005969&format=detailed.pft),,29/08/2023 12:01:33
Hidrostática,"""Propriedade dos líquidos: fluidez, viscosidade, adesão e repulsão. Ausência de forma. Equilíbrio dos líquidos: num só vaso e em vasos comunicantes."" (CRRS/INCE)",Humberto Mauro,1937,5,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2587,2587,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=005971&format=detailed.pft),,29/08/2023 12:01:34
Itacurussá,"Aspectos de Itacuruçá, no Rio de Janeiro. Embarcações com turistas passeiam pela Baía de Sepetiba; entre as pequenas ilhas, turistas visitam uma delas. Vista de Itacuruçá, destacando-se a Igreja de Nossa Senhora de Santana. Canoas no mar e na praia, detalhes de pescadores e do interior de canoa com samburá, chaleira, caneca, lamparina e caixote de madeira com anzol. Cachorros brincam na areia, barcos estacionados na praia.",Humberto Mauro,1937,3,Rio de Janeiro,http://www.bcc.org.br/filme/detalhe/005993,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2588,2588,,Cinemateca Brasileira (http://www.cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=p&nextAction=lnk&exprSearch=ID=005993&format=detailed.pft),,29/08/2023 12:01:34
Jardim Botânico do Rio de Janeiro,Vegetação do Jardim Botânico do Rio de Janeiro.,Vittorio Capellaro,1937,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3592,3592,,Cinemateca Brasileira (http://cinemateca.gov.br),,29/08/2023 12:01:34
Jogos e Danças Regionais (Escolas Primárias),"""Concentração geral das Escolas Primárias do Distrito Federal, para demonstração de Educação Física, em 02 de setembro de 1937, no Estádio do Fluminense Foot-Ball Clube"" (CRRS/INCE)",Humberto Mauro,1937,4,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2589,2589,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=006000&format=detailed.pft),,29/08/2023 12:01:35
Juramento à Bandeira,,João Stamato,1937,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3919,3919,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:35
Juramento à Bandeira (Batalhão de Guardas),"""Desfile do Batalhão de Guardas, em continência ao Presidente da República. Juramento à bandeira."" (CRRS/INCE)",Humberto Mauro,1937,6,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2590,2590,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=006005&format=detailed.pft),,29/08/2023 12:01:35
Lótus do Egito,"""Variedade brasileira. Habitat. Estudo anatômico. Horto Botânico do Museu Nacional; apanhados de Miriphéas"". (CRRS/INCE)",Humberto Mauro,1937,2,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2593,2593,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=006023&format=detailed.pft),,29/08/2023 12:01:36
Magnetismo,"Explicação sobre o magnetismo, fenômeno relacionado à atração ou repulsão entre materias. Os ímãs naturais e artificiais. Distribuição de força magnética; campo e espectro magnético. A polarização magnética e os processos de imantação. O funcionamento da bússola. (Baseado em CRRS/INCE )",Humberto Mauro,1937,7,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2594,2594,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=006027&format=detailed.pft),,29/08/2023 12:01:36
Manobras da Guarnição da Vila Militar,,João Stamato,1937,5,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3918,3918,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:36
Método Operatório do Dr. Gudin,"""Método baseado no processo de esterilização total."" (CRRS/INCE)",Humberto Mauro,1937,3,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2600,2600,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=006041&format=detailed.pft),,29/08/2023 12:01:37
Medida do Comprimento,"""O metro, a régua. Nônio ou Vernier. Cunha métrica. Paquímetro. Catetômetro. Parafusos. Micrômetros e Esferômetros."" (CRRS/INCE)",Humberto Mauro,1937,3,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2599,2599,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=006038&format=detailed.pft) e Complete Index to World Film (http://www.citwf.com/film406674.htm),,29/08/2023 12:01:37
O Castelo São Manoel de Francisco Serrador em Correias,,Vittorio Capellaro,1937,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3591,3591,,Cinemateca Brasileira (http://cinemateca.gov.br),,29/08/2023 12:01:37
O Dia da Bandeira em Curitiba,"""O importante espetáculo que a nossa capital hontem assistiu foi filmado pelo Sr. J. B. Groff, conhecido cinematographista conterraneo..."" (Diário da Tarde, 20.11.1937)",João Baptista Groff,1937,,Paraná,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3009,3009,,Cinemateca Brasileira (http://cinemateca.gov.br/),,29/08/2023 12:01:38
O Dia das Normalistas da Bahia,,João Stamato,1937,5,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3929,3929,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:38
O Gigante da América do Sul,Aspectos característicos do Brasil... do Rio Grande do Sul ao legendário Amazonas... estado por estado... armazenando curiosidades de todas as partes.... (Cinearte),Alexandre Wulfes,1937,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/85,85,,Cinemateca Brasileir,,29/08/2023 12:01:38
O Museu de Belas Artes do Rio de Janeiro,,Vittorio Capellaro,1937,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3590,3590,,Cinemateca Brasileira (http://cinemateca.gov.br),,29/08/2023 12:01:39
Onze de Junho,,João Stamato,1937,4,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3938,3938,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:39
Orquídeas,"Algumas espécies de orquídeas existentes no Jardim Botânico do Rio de Janeiro. Detalhes de um exemplar de Cattleya loddigesii, conhecida por sua beleza e por ter sido a primeira cultivada na Europa, um dos seus labelos é mostrado em destaque. A Laelia purpurata, um dos mais ornamentais exemplares da flora brasileira, encontrada nas ilhas e no litoral de Santa Catarina. A Oncidium papilio, orquídea cujas pétalas, bulbos e labelo se assemelham a uma borboleta. Uma orquídea Zigopetalum mackaii com seus labelos de manchas azuladas, planta comumente encontrada nas pedras lisas do Morro do Corcovado. A Aristolochia gigantea, uma trepadeira de folhas enormes, com belo colorido e propriedades medicinais, também conhecida como ""papo-de-peru"".",Humberto Mauro,1937,2,Rio de Janeiro,http://www.bcc.org.br/filme/detalhe/006098,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2608,2608,,Cinemateca Brasileira (http://www.cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=p&nextAction=lnk&exprSearch=ID=006098&format=detailed.pft),,29/08/2023 12:01:40
Os Índios Parintintins e Outros,"Visita à aldeia dos índios Parintintins na região do Rio Madeira, ""compreendida entre a margem esquerda do rio Marmélos e a margem direita do rio Machado"". Indios na mata; manejando arco e flecha na beira de um rio; índias nuas amamentando os filhos, na rede; garotos atravessando um igarapé e, enfeitados, posando em grupo; adultos índios também posam. ""Muito zelosos em seus costumes típicos os indios não poupam sacrificio para realce de suas festas. Preparativos e ensaio para a solenidade da festa"". Presença de não índios e de uma índia vestida inteiramente com tecido estampado; moças, com os corpos pintados, saem de uma cabana, em fila. Andam formando um círculo e retornam à cabana. ""A primeira cerimônia antes do grande baile"". ""Em trajes paradisíacos as indias mais conservadoras das tradições ancestrais, perfilam-se aguardando o início da festa"". (Baseado em CB/Ficha Filmográfica)",Silvino Santos,1937,8,Amazon,ww.bcc.org.br/filme/detalhe/005982,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3572,3572,,Cinemateca Brasileira (http://cinemateca.gov.br),,29/08/2023 12:01:40
Os Centros de Saúde do Rio de Janeiro,"""Mapa demonstrativo das diferentes zonas sanitárias do Rio de Janeiro, com os seus respectivos centros de saúde."" (CRRS/INCE)",Humberto Mauro,1937,8,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2609,2609,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=005606&format=detailed.pft),,29/08/2023 12:01:40
Outono,"Canção - Intérprete: Villaça, Corbuniano",Humberto Mauro,1937,2,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2612,2612,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=006102&format=detailed.pft),,29/08/2023 12:01:41
Papagaio,"Equilibrado sobre poleiro, papagaio é estimulado a imitar os sons da fala humana. Ave reproduz palavras do seu interlocutor: grasna, conta e cantarola melodias. Ao fundo, ouve-se sons de pássaros, num ambiente com plantas tropicais. Papagaio percorre poleiro, dá bicada em galho de árvore e uma mão interage com ele. A ave equilibra-se numa só perna e exibe a pata. ",Humberto Mauro,1937,5,Rio de Janeiro,http://www.bcc.org.br/filme/detalhe/006118,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2613,2613,,Cinemateca Brasileira (http://www.cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=p&nextAction=lnk&exprSearch=ID=006118&format=detailed.pft),,29/08/2023 12:01:41
Pedra Fundamental do Edifício do Ministério da Educação,"Na rua da Imprensa, cidade do Rio de Janeiro, autoridades civis e militares se preparam para ouvir o discurso do ministro Gustavo Capanema. Ladeado por Carlos Drummond de Andrade e autoridades, o ministro profere discurso sobre o significado do edifício para a cidade e a importância da organização do serviço público (""racionalização da racionalização""). Em seguida, Edgar Roquette-Pinto discorre sobre a educação moderna, e os usos da radiodifusão, o teatro nacional, o cinema educativo, a enciclopédia brasiliana e a universidade.",Humberto Mauro,1937,7,Rio de Janeiro,http://www.bcc.org.br/filme/detalhe/006129,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2615,2615,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=006129&format=detailed.pft),,29/08/2023 12:01:41
Peixes do Rio de Janeiro,"""Aquário Municipal. Espécies da água doce e da água salgada"". (CRRS/INCE)",Humberto Mauro,1937,6,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2616,2616,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=006130&format=detailed.pft),,29/08/2023 12:01:42
Planetário,"Planetário munido de uma manivela cuja base circular apresenta símbolos astrológicos e reproduz a ordem dos planetas e seus satélites naturais em relação ao Sol, que fica no eixo do aparelho. Técnico com ponteira indica o Sol e os planetas. Ao ser acionada a manivela, os planetas se movimentam em diferentes velocidades, simulando sua translação no sistema solar.",Humberto Mauro,1937,2,Rio de Janeiro,http://www.bcc.org.br/filme/detalhe/006139,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2617,2617,,Cinemateca Brasileira (http://www.cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=p&nextAction=lnk&exprSearch=ID=006139&format=detailed.pft),,29/08/2023 12:01:42
Recantos de Recife,,João Stamato,1937,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3906,3906,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:42
Reserva Florestal do Brasil,"""Vistas apanhadas no Rio Panga"". (JIMS/OESP)",João Stamato,1937,4,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3924,3924,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:43
Ruídos de Aviação,,João Stamato,1937,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3913,3913,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:43
Sete de Setembro no Pará,,João Stamato,1937,4,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3934,3934,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:44
Sexta Exposição Nacional de Pecuária,,João Stamato,1937,5,São Paulo,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3922,3922,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:44
Subida da Montanha (Automobilismo),,João Stamato,1937,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3933,3933,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:44
Tapirapés,"Expedição paulista à aldeia dos Tapirapés entre a Serra do Roncador e o Vale do Araguaia. Aviso - neste filme, de autenticidade absoluta, os índios Tapirapés de ambos os sexos, foram filmados como vivem - completamente nus. (JIMS/OESP)",Roberto Pompílio,1937,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2086,2086,,Cinemateca Brasileir,,29/08/2023 12:01:44
Telúrio,"""Nomenclatura: Demonstração dos dois principais movimentos da terra e suas conseqüências."" (CRRS/INCE)",Humberto Mauro,1937,3,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2619,2619,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=006272&format=detailed.pft),,29/08/2023 12:01:45
Terceiro Congresso Sul-Americano de Química,,João Stamato,1937,5,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3932,3932,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:45
Universidade do Brasil,O presidente Getulio Vargas sanciona a lei nº 452 que organiza a Universidade do Brasil - referendada pelo ministro Gustavo Capanema e do reitor Leitão da Cunha.,Humberto Mauro,1937,6,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2621,2621,,Cinemateca Brasileira (http://www.cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=p&nextAction=lnk&exprSearch=ID=013398&format=detailed.pft#1),,29/08/2023 12:01:45
Victória Régia,"Recanto amazônico, recomposto no Jardim Botânico do Rio de Janeiro, que mostra o habitat natural da vitória-régia. Ilustração de mapa parcial da América do Sul, demarcando as regiões das bacias dos rios Berbice, Amazonas e Paraguai, ambientes naturais dessas plantas. Tanque especial de cultivo de vitórias-régias no Horto Botânico da Quinta da Boa Vista, do Museu Nacional. Detalhes da planta, com a descrição de suas partes, com ênfase nas gigantescas folhas e nas flores, registrando os nomes que lhes dão os indígenas. O processo de fecundação feito por um besouro. Ilustração de estufa europeia do século XIX para cultivo da planta. Em câmera acelerada é mostrada a eclosão de uma flor.",Humberto Mauro,1937,8,Rio de Janeiro,http://www.bcc.org.br/filme/detalhe/006322,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2622,2622,,Cinemateca Brasileira (http://cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=P&nextAction=search&exprSearch=ID=006322&format=detailed.pft),,29/08/2023 12:01:46
Victória Régia: Horto Botânico do Museu Nacional,"Na Quinta da Boa Vista, no Horto Botânico do Museu Nacional, é cultivada a Vitória Régia em cativeiro. Detalhes sobre sua etmologia indígena. Descrição de seu ciclo de vida, com destaque para a superfície de sua folha, seu caule e sua flor, esta última, decisiva para a fecundação. Com ilustração de desenho, vê-se o interior da planta. O mapa do Brasil ajuda a localizar as duas regiões onde se encontram a rara espécie (a Bacia do Amazonas e a Bacia do Paraguai). Ilustração de estufas européias que cultivam a planta. A abertura acelerada de sua bela flor.",Humberto Mauro,1937,7,Rio de Janeiro,http://www.bcc.org.br/filme/detalhe/006323,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2623,2623,,Cinemateca Brasileira (http://www.cinemateca.gov.br/cgi-bin/wxis.exe/iah/?IsisScript=iah/iah.xis&base=FILMOGRAFIA⟨=p&nextAction=lnk&exprSearch=ID=006323&format=detailed.pft),,29/08/2023 12:01:46
Vozes da Floresta,Vegetação do Jardim Botânico do Rio de Janeiro.,João Stamato,1937,8,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3910,3910,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:47
1ª Exposição de Animais e Produtos Derivados,"Exposição de Animais e Produtos Derivados, 1, Ponta Grossa - PR",João Baptista Groff,1938,,Paraná,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3012,3012,,Cinemateca Brasileira (http://cinemateca.gov.br/),,29/08/2023 12:01:47
A Festa da Uva em Jundiaí,,João Stamato,1938,4,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3943,3943,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:47
A Marinha em Trabalho,,João Stamato,1938,4,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3954,3954,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:48
A Moeda,Desenho. Galvanoplastia. Redução. Liga do metal. Fundição e vasamento. Laminação. Corte dos discos. Gravação. (CRRS/INCE),Humberto Mauro,1938,11,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2652,2652,,Cinemateca Brasileira (http://www.cinemateca.gov.br/),,29/08/2023 12:01:48
A Voz do Carnaval de 1938,,Carlos Braga,1938,9,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3852,3852,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:48
Aniversário da Fundação de São Paulo,,João Stamato,1938,4,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3957,3957,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:49
Aranhas,"Um moinho em funcionamento na região de Cataguases, destaque para o movimento da roda dïágua e as teias de aranhas que se acumulam no madeirame sob o moinho. Diferentes traçados de teias e aranhas. No seu habitat, o animal tece a teia, ataca a presa, confecciona seu casulo e procria grande quantidade de filhotes. Teias e aranhas mostradas em detalhes. ",Humberto Mauro,1938,3,Rio de Janeiro,http://www.bcc.org.br/filme/detalhe/006339,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2628,2628,,Cinemateca Brasileira (http://www.cinemateca.gov.br),,29/08/2023 12:01:49
Aspectos da Faculdade Nacional de Odontologia,"Aspectos interiores da Faculdade no seu prédio provisório, diversas salas: clínicas, prótese, técnica, raio X, etc. Diretoria, secretaria e demais setores.",Humberto Mauro,1938,8,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2631,2631,,Cinemateca Brasileira (http://www.cinemateca.gov.br),,29/08/2023 12:01:49
Atualidades Paranaenses n. 085,,João Baptista Groff,1938,,Paraná,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3013,3013,,Cinemateca Brasileira (http://cinemateca.gov.br/),,29/08/2023 12:01:50
Bandeira Anhanguera,"(...) é a reportagem da expedição em que o grande desbravador dos sertões - Hermano Ribeiro da Silva, perdeu a vida, vítima de terrível doença. (O Dia, 16.12.1938, Curitiba)",Herminio Ribeiro da Silva,1938,,São Paulo,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/998,998,,Cinemateca Brasileir,,29/08/2023 12:01:50
Belém Colonial,,João Stamato,1938,4,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3949,3949,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:51
Brasil Versus Tchecoslováquia,"""""Reportagem completa da tremenda luta de gigantes! Empate e desempate! A vitória de Bordéus ante os olhos do Brasil no filme insuperável dos Irmãos Ponce (...)."""" (JIMS/OESP citando O Estado de São Paulo de 05.06.1938)",,1938,73,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/1712,1712,,Cinemateca Brasileir,,29/08/2023 12:01:51
Bronze Artístico,Moldagem e Fundição - Polimento e Pátina. (CRRS/INCE),Humberto Mauro,1938,7,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2650,2650,,Cinemateca Brasileira (http://www.cinemateca.gov.br/),,29/08/2023 12:01:51
Cabo Frio,,João Stamato,1938,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3939,3939,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:52
Chegada dos Jogadores de Futebol,,João Stamato,1938,4,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3946,3946,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 12:01:52
Combate à Praga do Algodoeiro em Minas Gerais,"""Processo moderno de combate à praga do algodoeiro"". (CRRS/INCE)",Humberto Mauro,1938,5,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2630,2630,,Cinemateca Brasileira (http://cinemateca.gov.br),,29/08/2023 12:01:52
Dia da Pátria de 1938,,Humberto Mauro,1938,12,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3095,3095,,Cinemateca Brasileira (http://www.cinemateca.gov.br/),,29/08/2023 12:01:53
Engenhoca e Sovaca,Aparelhos primitivos para a extração do caldo de cana.(CRRS/INCE),Humberto Mauro,1938,4,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2655,2655,,Cinemateca Brasileira (http://www.cinemateca.gov.br/),,29/08/2023 12:01:53
